gene,length
TTN,304813
,
MUC16,161546
,
TP53,25767
,
SYNE1,516114
,
CSMD3,1214011
,
RYR2,791804
,
LRP1B,1899593
,
PCLO,408918
,
USH2A,800557
,
DNAH5,321490
,
OBSCN,170832
,
DST,496843
,
ZFHX4,186042
,
FLG,23074
,
FAT4,178014
,
XIRP2,371273
,
NEB,249151
,
FAT3,671655
,
CSMD1,2059619
,
HMCN1,456558
,
RYR3,555159
,
MACF1,405861
,
APOB,42644
,
ADGRV1,635093
,
DNAH8,315481
,
MUC17,38787
,
RYR1,161582
,
KMT2D,41819
,
PIK3CA,91979
,
SPTA1,76011
,
DNAH9,371278
,
LRP2,235425
,
DMD,2241932
,
AHNAK2,41130
,
ABCA13,476039
,
PCDH15,1825171
,
DNAH7,331134
,
DNAH3,226330
,
PKHD1L1,174746
,
DNAH11,358800
,
MUC5B,39106
,
CSMD2,651844
,
SYNE2,464534
,
ANK3,707192
,
KMT2C,301722
,
APC,138721
,
FAT1,138928
,
AHNAK,122693
,
HYDIN,428638
,
DNAH17,153699
,
DNAH10,173532
,
RELN,518277
,
ANK2,566189
,
SACS,145074
,
HERC2,211139
,
CACNA1E,495572
,
PKHD1,472314
,
TENM1,828409
,
PTEN,109292
,
COL6A3,90325
,
DNAH2,115998
,
FCGBP,71303
,
FAM135B,367238
,
RNF213,137942
,
CUBN,305845
,
NAV3,888369
,
SSPO,
,
ARID1A,88868
,
DCHS2,260057
,
LRP1,84878
,
COL11A1,232405
,
MXRA5,38087
,
VCAN,110685
,
ADGRG4,115927
,
CCDC168,29705
,
PAPPA2,382430
,
FAT2,87239
,
RP1,362298
,
MDN1,177296
,
DSCAM,836159
,
KIAA1109,
,
NF1,287189
,
PLEC,61581
,
HUWE1,154656
,
NPAP1,7618
,
ZFHX3,1108986
,
LAMA1,176055
,
MGAM,198934
,
ZNF536,488695
,
ATRX,281353
,
CMYA5,110404
,
MUC4,65208
,
SI,99598
,
VPS13B,864314
,
TENM3,659037
,
TG,267945
,
UNC13C,650506
,
LAMA2,633428
,
BIRC6,262548
,
PTPRD,2298756
,
UBR4,135756
,
TRRAP,172898
,
NRXN1,1307072
,
FBN2,401276
,
SPHKAP,201732
,
TNXB,74181
,
SVEP1,214632
,
MYH2,28552
,
FRAS1,486946
,
PRUNE2,294738
,
PLXNA4,525348
,
ASPM,62573
,
RIMS2,753820
,
EYS,1987246
,
CACNA1C,727178
,
LRRK2,172541
,
MYCBP2,284620
,
PTPRT,1117218
,
PEG3,30651
,
THSD7B,912173
,
CNTNAP2,2304996
,
NBEA,730752
,
UNC79,374657
,
ERICH3,105675
,
MYO18B,288901
,
MYH1,26235
,
PCDH11X,843969
,
AKAP9,169833
,
COL12A1,121941
,
PRKDC,187067
,
DYNC1H1,91870
,
LYST,222683
,
LRRC7,584023
,
GRIN2A,429933
,
CDH23,419027
,
SDK1,967748
,
ABCA12,207084
,
DCC,1195702
,
BRAF,205602
,
CNTNAP5,895932
,
IGHG1,6728
,
NALCN,362732
,
SCN10A,119484
,
ALMS1,239408
,
COL22A1,325806
,
ASXL3,172976
,
MKI67,29764
,
FLNC,28868
,
RP1L1,105838
,
VPS13D,282017
,
KRAS,45690
,
SCN1A,198165
,
SCN5A,101686
,
WDFY3,297925
,
DYNC2H1,370453
,
MROH2B,73325
,
ADGRB3,755289
,
FREM2,200054
,
FLG2,11271
,
SPEN,104361
,
COL5A1,203040
,
MYH8,31628
,
KALRN,692956
,
ZAN,64202
,
STAB2,179446
,
DYSF,233202
,
ZNF831,135732
,
DSP,45391
,
KMT2A,90376
,
TENM4,788201
,
FRY,452412
,
TENM2,1285128
,
HECTD4,222251
,
TNR,428401
,
CDH10,157878
,
TEX15,81464
,
DNAH1,84173
,
SPEG,58786
,
XKR4,440026
,
PTPRB,121570
,
ANKRD30A,106969
,
MYH4,26269
,
HSPG2,115066
,
ATM,146298
,
SCN2A,197317
,
PDZD2,471801
,
ASH1L,227894
,
CRB1,210251
,
FMN2,460839
,
FBN1,237408
,
HRNR,12117
,
MYO15A,71046
,
HERC1,225330
,
TAF1L,6215
,
PXDNL,489868
,
COL6A6,159867
,
PKD1L1,208264
,
DOCK2,446114
,
SZT2,64365
,
ASTN1,307671
,
NRXN3,1697918
,
ZNF804A,340963
,
ZDBF2,39764
,
BSN,117072
,
PCDH17,97567
,
ADAMTS12,368484
,
FBN3,84190
,
KIAA2022,
,
ANK1,243521
,
HECW1,453372
,
MYH13,72265
,
MYH7,22920
,
CENPF,61389
,
UTRN,567699
,
HCN1,441550
,
TMEM132D,832300
,
TECTA,90247
,
SCN11A,206393
,
FER1L6,268074
,
ROS1,138589
,
CHD7,189288
,
ERBB4,1163124
,
LCT,49334
,
XIST,32065
,
VWF,175893
,
SRCAP,43200
,
PCDHB6,3230
,
MYO3A,278303
,
BRCA2,85182
,
PREX2,284986
,
IGSF10,35677
,
VPS13C,208084
,
EP400,130518
,
TACC2,265382
,
PTPRZ1,188947
,
AFF2,500046
,
RIMS1,516600
,
TRANK1,118240
,
TPTE,84587
,
SCN9A,180816
,
LAMA3,266769
,
CREBBP,155659
,
SCN3A,116524
,
COL7A1,31256
,
MGA,151947
,
KMT2B,20907
,
NCKAP5,896675
,
F8,191152
,
MAGEC1,5480
,
MYH6,26291
,
DCHS1,34479
,
PCDHA9,164575
,
TSHZ3,199457
,
CDH9,240553
,
FLNA,26110
,
FN1,75633
,
DIDO1,60214
,
GRIN2B,544060
,
SORCS1,591043
,
MAP2,310100
,
CFAP47,465583
,
FREM1,173843
,
SPEF2,196767
,
NIPBL,189644
,
PCDH10,59312
,
TRIO,388786
,
FUT9,199638
,
TRPS1,401177
,
ADAMTS20,198337
,
CHD6,216301
,
CTNND2,932610
,
USP34,283624
,
NOS1,244028
,
OTOGL,281343
,
MYO16,611853
,
SALL1,16352
,
DOCK3,709271
,
DMBT1,83071
,
DSCAML1,389753
,
ADGRL3,878009
,
ROBO2,1743269
,
SLIT2,368656
,
DMXL2,175122
,
CELSR1,176786
,
ADCY8,260608
,
GLI3,303151
,
AKAP6,508386
,
GOLGB1,86767
,
ANKRD11,222942
,
FSIP2,94486
,
PLCE1,338892
,
TRPM6,165599
,
CTNNA2,1463630
,
ALPK2,147844
,
CACNA1S,72939
,
GPR158,427427
,
TRPM3,917917
,
NAV2,770877
,
KIAA1217,853102
,
DCDC1,539441
,
SPAG17,231638
,
PCNT,121645
,
ITPR2,497842
,
LAMA5,59357
,
PCDHB7,3739
,
RANBP2,66328
,
CACNA1B,246842
,
SRRM2,19912
,
